county,personal_income,population,per_capita_income,dispensary_count,population_per_dispenary,sales,sales_per_capita,avg_sales_per_dispensary,avg_sale_dispo_per_capita,percent_of_sales_over_income,lat,long
Baker,685166000,16124,42494,4,4031,30174052.05,1871.38,7543513.01,467.84,4.4,44.7652,-117.6769
Umatilla,3268316000,77950,41928,4,19488,11665990.12,149.66,2916497.53,37.41,0.36,45.775,-118.7606
Malheur,1057034000,30571,34576,9,3397,20271094.57,663.08,2252343.84,73.68,1.92,43.2172,-117.5792
Washington,38527576000,601592,64043,40,15040,79856029.61,132.74,1996400.74,3.32,0.21,45.547,-123.1386
Deschutes,11159204000,197692,56447,30,6590,43897085.12,222.05,1463236.17,7.4,0.39,43.8325,-121.2617
Clackamas,25812808000,418187,61726,30,13940,41266150.45,98.68,1375538.35,3.29,0.16,45.2024,-122.1189
Klamath,2839572000,68238,41613,5,13648,6415072.51,94.01,1283014.5,18.8,0.23,42.6953,-121.6142
Yamhill,5086605000,107100,47494,12,8925,14714908.24,137.39,1226242.35,11.45,0.29,45.1772,-123.2395
Josephine,3810451000,87487,43554,11,7953,12331177.75,140.95,1121016.16,12.81,0.32,42.3448,-123.4569
Multnomah,49399774000,812855,60773,216,3763,227971779.3,280.46,1055424.9,1.3,0.46,45.5146,-122.5863
Lane,18087217000,382067,47340,82,4659,76406684.49,199.98,931788.84,2.44,0.42,43.961,-122.6618
Marion,15706672000,347818,45158,61,5702,55536765.42,159.67,910438.78,2.62,0.35,44.8446,-122.5927
Wasco,1163239000,26682,43596,5,5336,4537857.53,170.07,907571.51,34.01,0.39,45.06,-121.2375
Douglas,4698282000,110980,42334,16,6936,14039923.51,126.51,877495.22,7.91,0.3,43.1261,-123.2492
Grant,308754000,7199,42888,1,7199,868447.09,120.63,868447.09,120.63,0.28,44.4384,-118.8917
Linn,5816653000,129749,44830,21,6179,17816271.95,137.31,848393.9,6.54,0.31,44.41,-122.534
Harney,309164000,7393,41818,2,3696,1681708.11,227.47,840854.06,113.74,0.54,43.1423,-119.0116
Hood River,1316983000,23382,56325,6,3897,5034645.06,215.32,839107.51,35.89,0.38,45.5605,-121.6379
Curry,1042502000,22925,45474,11,2084,8988198.9,392.07,817108.99,35.64,0.86,42.5441,-124.2782
Jackson,10669698000,220944,48291,48,4603,38287731.28,173.29,797661.07,3.61,0.36,42.3345,-122.7647
Jefferson,866858000,24658,35155,5,4932,3884162.34,157.52,776832.47,31.5,0.45,44.6673,-121.1786
Columbia,2409293000,52354,46019,11,4759,8502053.25,162.4,772913.93,14.76,0.35,45.9197,-123.0357
Benton,4534024000,93053,48725,15,6204,11290678.54,121.34,752711.9,8.09,0.25,44.6282,-123.3874
Lincoln,2294997000,49962,45935,24,2082,16927104.39,338.8,705296.02,14.12,0.74,44.6095,-123.9424
Polk,3692806000,86085,42897,11,7826,7509699.15,87.24,682699.92,7.93,0.2,44.9267,-123.4919
Tillamook,1240385000,27036,45879,11,2458,7356489.03,272.1,668771.73,24.74,0.59,45.5293,-123.7052
Clatsop,1893791000,40224,47081,19,2117,12218496.84,303.76,643078.78,15.99,0.65,46.0211,-123.7653
Lake,340162000,7869,43228,2,3934,1257931.14,159.86,628965.57,79.93,0.37,42.6986,-120.5658
Coos,2994046000,64487,46429,24,2687,13490127.66,209.19,562088.65,8.72,0.45,43.2429,-124.1057
Wallowa,331884000,7208,46044,1,7208,546632.53,75.84,546632.53,75.84,0.16,45.593,-116.9718
